下标	名字		地址	层数	种类	类型	值	参个数
141	fibo		0	17	FUNC	INT	0	1
142	n		4	17	PARA	INT	0	0
143	tmp53		8	17	TTVAR	VOID	0	0
144	tmp54		12	17	TTVAR	INT	0	0
145	tmp55		16	17	TTVAR	INT	0	0
146	tmp56		20	17	TTVAR	INT	0	0
147	tmp57		24	17	TTVAR	INT	0	0
148	tmp58		28	17	TTVAR	INT	0	0
149	end1518_16		216	17	REEND	VOID	0	0
150	showhotspot		0	18	FUNC	INT	0	0
151	tmp59		4	18	TTVAR	INT	0	0
152	tmp60		8	18	TTVAR	INT	0	0
153	tmp61		12	18	TTVAR	INT	0	0
154	tmp62		16	18	TTVAR	INT	0	0
155	tmp63		20	18	TTVAR	INT	0	0
156	tmp64		24	18	TTVAR	INT	0	0
157	tmp65		28	18	TTVAR	INT	0	0
158	tmp66		32	18	TTVAR	INT	0	0
159	tmp67		36	18	TTVAR	INT	0	0
160	tmp68		40	18	TTVAR	INT	0	0
161	tmp69		44	18	TTVAR	INT	0	0
162	tmp70		48	18	TTVAR	INT	0	0
163	tmp71		52	18	TTVAR	INT	0	0
164	tmp72		56	18	TTVAR	INT	0	0
165	end1518_17		220	18	REEND	VOID	0	0
166	haha		0	19	FUNC	CHAR	0	0
167	end1518_18		224	19	REEND	VOID	0	0
168	allchar		0	20	FUNC	VOID	0	0
169	a		4	20	TVAR	INT	0	0
170	b		8	20	TVAR	CHAR	0	0
171	c		12	20	TVAR	CHAR	0	0
172	d		16	20	TVAR	CHAR	0	0
173	e		20	20	TVAR	CHAR	0	0
174	f		24	20	TVAR	CHAR	0	0
175	tmp73		28	20	TTVAR	CHAR	0	0
176	tmp74		32	20	TTVAR	CHAR	0	0
177	tmp75		36	20	TTVAR	INT	0	0
178	end1518_19		228	20	NOREEND	VOID	0	0
179	dodo		0	21	FUNC	INT	0	0
180	i		4	21	TVAR	INT	0	0
181	j		8	21	TVAR	INT	0	0
182	k		12	21	TVAR	INT	0	0
183	sum		16	21	TVAR	INT	0	0
184	tmp76		20	21	TTVAR	INT	0	0
